Day,Depth,Temperature
27,4.003,11.71694186
27,4.503,11.37333965
27,5.003,10.94321656
27,5.503,10.5313907
27,6.003,10.13179613
27,6.503,9.771423925
27,7.003,9.480140216
27,7.503,9.423671784
27,8.003,9.367131445
27,8.503,9.315148366
27,9.003,9.28186608
27,9.503,9.263583915
27,10.003,9.226678155
27,10.503,9.19741748
27,11.003,9.175606794
27,11.503,9.141979989
27,12.003,9.104518967
27,12.503,9.073535565
27,13.003,9.04167104
27,13.503,9.000641463
27,14.003,8.967486029
27,14.503,8.927007681
27,15.003,8.881768853
27,15.503,8.855924147
27,16.003,8.825804797
27,16.503,8.788166476
27,17.003,8.769846535
27,17.503,8.750778108
27,18.003,8.731948299
28,2.003,12.42700739
28,2.503,12.2702427
28,3.003,12.14214273
28,3.503,12.02076456
28,4.003,11.71694186
28,4.503,11.37333965
28,5.003,10.94321656
28,5.503,10.5313907
28,6.003,10.13179613
28,6.503,9.771423925
28,7.003,9.480140216
28,7.503,9.423671784
28,8.003,9.367131445
28,8.503,9.315148366
28,9.003,9.28186608
28,9.503,9.263583915
28,10.003,9.226678155
28,10.503,9.19741748
28,11.003,9.175606794
28,11.503,9.141979989
28,12.003,9.104518967
28,12.503,9.073535565
28,13.003,9.04167104
28,13.503,9.000641463
28,14.003,8.967486029
28,14.503,8.927007681
28,15.003,8.881768853
28,15.503,8.855924147
28,16.003,8.825804797
28,16.503,8.788166476
28,17.003,8.769846535
28,17.503,8.750778108
28,18.003,8.731948299
29,2.003,12.42700739
29,2.503,12.2702427
29,3.003,12.14214273
29,3.503,12.02076456
29,4.003,11.71694186
29,4.503,11.37333965
29,5.003,10.94321656
29,5.503,10.5313907
29,6.003,10.13179613
29,6.503,9.771423925
29,7.003,9.480140216
29,7.503,9.423671784
29,8.003,9.367131445
29,8.503,9.315148366
29,9.003,9.28186608
29,9.503,9.263583915
29,10.003,9.226678155
29,10.503,9.19741748
29,11.003,9.175606794
29,11.503,9.141979989
29,12.003,9.104518967
29,12.503,9.073535565
29,13.003,9.04167104
29,13.503,9.000641463
29,14.003,8.967486029
29,14.503,8.927007681
29,15.003,8.881768853
29,15.503,8.855924147
29,16.003,8.825804797
29,16.503,8.788166476
29,17.003,8.769846535
29,17.503,8.750778108
29,18.003,8.731948299
30,2.003,12.42700739
30,2.503,12.2702427
30,3.003,12.14214273
30,3.503,12.02076456
30,4.003,11.71694186
30,4.503,11.37333965
30,5.003,10.94321656
30,5.503,10.5313907
30,6.003,10.13179613
30,6.503,9.771423925
30,7.003,9.480140216
30,7.503,9.423671784
30,8.003,9.367131445
30,8.503,9.315148366
30,9.003,9.28186608
30,9.503,9.263583915
30,10.003,9.226678155
30,10.503,9.19741748
30,11.003,9.175606794
30,11.503,9.141979989
30,12.003,9.104518967
30,12.503,9.073535565
30,13.003,9.04167104
30,13.503,9.000641463
30,14.003,8.967486029
30,14.503,8.927007681
30,15.003,8.881768853
30,15.503,8.855924147
30,16.003,8.825804797
30,16.503,8.788166476
30,17.003,8.769846535
30,17.503,8.750778108
30,18.003,8.731948299
